sample_id_a,sample_id_b,standardized_log_rate_distance
26689,49029,3.0851669490014215
27084,27495,3.4193255519236385
27084,27498,3.7502174053632653
27084,27872,2.655923433656054
27084,28451,4.2282634049859915
27084,28634,5.0345429811170455
27084,29419,4.13873045901812
27084,29959,4.1664141279437
27084,30902,2.357937321378439
27084,31498,4.517146607482257
27084,32755,4.1786729837146765
27084,34287,4.240433806292624
27084,36402,4.269743219831557
27084,37318,4.9284748028182666
27084,38506,4.903165043970951
27084,39172,3.189043882539945
27084,41698,5.129340972198923
27084,43651,2.718081043393503
27084,44207,4.975642207437771
27084,46580,2.445676951826658
27084,46829,4.400513865860721
27084,47327,4.037986929615411
27084,49029,2.0417845310302387
27495,27498,4.908440002799394
27495,27872,3.2872724043715307
27495,28451,3.9150547036985395
27495,28634,5.715265441088519
27495,29419,3.359695532408506
27495,29959,5.016570848745528
27495,30902,4.220977057902194
27495,31498,3.956305449300257
27495,32755,4.695355051176871
27495,34287,4.207923238306677
27495,36402,5.121940945514246
27495,37318,6.038664710097288
27495,38506,4.675255604419639
27495,39172,5.1153766930396465
27495,41698,4.813971819933849
27495,43651,3.7213875759541564
27495,44207,5.2515161482901975
27495,46580,3.685708536964115
27495,46829,4.9670655826459065
27495,47327,3.7207918167857277
27495,49029,3.8798254739227103
27498,27872,3.866643469231982
27498,28451,4.595950398916808
27498,28634,4.784828666353728
27498,29419,5.262965038567123
27498,29959,1.6291561239890986
27498,30902,3.3279087292752685
27498,31498,5.134976566022135
27498,32755,5.025023384855494
27498,34287,4.522687701770256
27498,36402,3.8354780347201043
27498,37318,3.7726861456822065
27498,38506,4.918834307178664
27498,39172,2.642866062849678
27498,41698,5.769847968721743
27498,43651,3.7290381405283766
27498,44207,5.687651610769718
27498,46580,4.691144320739467
27498,46829,4.214786504982186
